L, R, motor_r, motor_l
107, 101, -282, 188
107, 101, -283, 188
107, 101, -283, 189
107, 101, -284, 189
107, 101, -285, 190
103, 103, -286, 190
103, 103, -286, 191
103, 103, -287, 191
101, 103, -288, 192
101, 103, -288, 192
101, 103, -289, 193
101, 103, -290, 193
101, 103, -291, 193
101, 103, -291, 194
101, 103, -292, 194
101, 103, -293, 195
101, 103, -293, 195
101, 103, -294, 196
101, 103, -295, 196
101, 103, -295, 197
101, 103, -296, 197
101, 103, -297, 197
101, 109, -297, 198
101, 109, -298, 198
101, 109, -299, 199
101, 112, -300, 199
101, 112, -300, 200
101, 107, -301, 200
101, 107, -302, 201
101, 107, -302, 201
101, 107, -303, 201
101, 107, -304, 202
101, 109, -304, 202
101, 109, -305, 203
101, 109, -306, 203
101, 114, -306, 203
101, 114, -307, 204
101, 114, -308, 204
101, 114, -308, 205
101, 114, -309, 205
101, 114, -310, 206
101, 120, -311, 206
101, 120, -311, 206
101, 120, -312, 207
101, 120, -312, 207
101, 120, -313, 208
103, 113, -314, 208
103, 113, -315, 208
103, 113, -315, 209
103, 113, -316, 209
103, 118, -317, 210
103, 118, -318, 210
103, 118, -319, 211
103, 118, -319, 211
103, 118, -320, 211
103, 118, -321, 212
103, 118, -321, 212
103, 121, -322, 213
103, 121, -323, 213
103, 121, -323, 213
107, 121, -324, 214
112, 121, -325, 214
112, 121, -325, 215
112, 121, -326, 215
112, 121, -327, 216
112, 121, -328, 216
112, 126, -328, 216
113, 126, -329, 217
113, 130, -330, 217
113, 130, -330, 218
113, 137, -332, 219
112, 137, -333, 219
112, 137, -333, 219
112, 138, -334, 220
113, 138, -335, 220
113, 147, -336, 221
113, 147, -337, 221
120, 147, -337, 222
120, 156, -338, 222
120, 156, -339, 222
120, 156, -340, 223
120, 175, -340, 223
120, 175, -341, 224
120, 175, -342, 224
120, 184, -343, 225
126, 184, -344, 225
126, 184, -344, 226
126, 184, -345, 226
126, 184, -346, 227
126, 184, -346, 227
126, 184, -347, 228
126, 184, -347, 228
126, 184, -348, 228
